Model,Accuracy
LightGBM,0.9251201281366791
XGBoost,0.9211158569140416
Random Forest,0.8970902295782167
SVM,0.8654564869193807
Logistic Regression,0.8033902829684997
Gaussian Naive Bayes,0.5617992525360385
